f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.7912580554777249,0.7182095625635809,0.8808484092326887,0.810621018112127,0.25960637300843487,1580,554,191,1412,Accelerometer Only,0.42000000000000004,0,0.4
0.8507025761124122,0.8014340871483728,0.9064254522769807,0.8688640850888183,0.16869728209934395,1774,360,150,1453,Mean Late Fusion,0.42000000000000004,0,0.4
0.8655717761557178,0.8445103857566766,0.8877105427323768,0.8824682048244827,0.12277413308341144,1872,262,180,1423,Max OR Fusion,0.7000000000000001,0,0.4
0.851875,0.8534752661239825,0.8502807236431691,0.8703137451392977,0.10965323336457357,1900,234,240,1363,Min Agreement Fusion,0.34,0,0.4
0.867462311557789,0.8734977862112587,0.8615096693699313,0.883894478546259,0.09372071227741331,1934,200,222,1381,Product Agreement Fusion,0.26,0,0.4
0.8674404398289554,0.8497905445840814,0.8858390517779164,0.8841097789348813,0.1176194939081537,1883,251,183,1420,Naive Independence,0.81,0,0.4
0.8522954091816367,0.9130434782608695,0.7991266375545851,0.8709785015326815,0.05716963448922212,2012,122,322,1281,Rule AND Tuned,0.49,0,0.4
0.8655717761557178,0.8445103857566766,0.8877105427323768,0.8824682048244827,0.12277413308341144,1872,262,180,1423,Rule OR Tuned,0.7000000000000001,0,0.4
0.8835549789166396,0.9202702702702703,0.8496568933250156,0.8971808365406708,0.05529522024367385,2016,118,241,1362,Calibrated Logistic Fusion,0.74,0,0.4
0.9042796471741261,0.9492455418381345,0.8633811603243917,0.9143522483908744,0.03467666354264293,2060,74,219,1384,Temporal Logistic Fusion,0.73,0,0.4
0.8892466194462331,0.9188290086493679,0.8615096693699313,0.9021700174403546,0.05716963448922212,2012,122,222,1381,Temporal Extra Trees,0.52,0,0.4
0.8933977455716586,0.9234354194407457,0.8652526512788522,0.9056816208596699,0.05388940955951265,2019,115,216,1387,Temporal Random Forest,0.48000000000000004,0,0.4
0.8900094547746612,0.8993630573248408,0.8808484092326887,0.903404523266766,0.07403936269915651,1976,158,191,1412,Temporal HistGradientBoosting,0.33,0,0.4
0.8679618044122489,0.9191073919107392,0.8222083593262632,0.8839251731026818,0.05435801312089972,2018,116,285,1318,Camera Only,0.6900000000000001,0,0.6
0.7912663755458516,0.7418122270742358,0.8477854023705552,0.8130679589172364,0.22164948453608246,1661,473,244,1359,Accelerometer Only,0.5,0,0.6
0.8469833867677062,0.7948577680525164,0.9064254522769807,0.8653495583784154,0.17572633552014996,1759,375,150,1453,Mean Late Fusion,0.42000000000000004,0,0.6
