severity,method,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,balanced_accuracy_mean,balanced_accuracy_std,false_alert_rate_mean,false_alert_rate_std
0.4,Rule AND Tuned,0.7598700806436736,0.06479761325861078,0.9111230529726541,0.05433693480577991,0.6582956258294332,0.09489437016014733,0.8109630232519196,0.04035625093786573,0.03636957932559399,0.01966809108915927
0.4,Accelerometer Only,0.732370818624974,0.05395708559335299,0.7482372801157077,0.10585307250297979,0.7348998670172249,0.08663421227236318,0.7953347921010127,0.02431069268600665,0.1442302828151995,0.06400625006471176
0.6,Temporal Logistic Fusion,0.871490010779147,0.04280374109891184,0.8983813106094092,0.07446749709835249,0.8490143625716022,0.03058366106567102,0.8992748268089168,0.018464336879641663,0.0504647089537687,0.024199414418203464
0.6,Temporal HistGradientBoosting,0.8463743546929938,0.05919449591549296,0.8549925369694747,0.11173169568096507,0.8473840063240404,0.031903153991648024,0.8847785594484708,0.020749239048621686,0.07782688742709895,0.0469091678160147
0.6,Calibrated Logistic Fusion,0.8461808949946705,0.05401864729364497,0.8709310462433553,0.08791474350814298,0.8275532442609403,0.04203661742338308,0.8807480763893476,0.024303386006297112,0.06605709148224499,0.029443724697847274
0.6,Temporal Random Forest,0.8443504234034848,0.06440820767967201,0.8659528569382008,0.11395112339217536,0.8324048889469475,0.041705152462714015,0.8816410713213776,0.02762512189181045,0.06912274630419238,0.04678685631757993
0.6,Temporal Extra Trees,0.8440795437073877,0.06316396341005898,0.8739523067281427,0.11296360658877766,0.8246935769390179,0.043747721209908955,0.8805218665788288,0.027502443488923244,0.06364984378136015,0.046064060946557496
0.6,Camera Only,0.8427958408023283,0.053359642427246494,0.8798081208998587,0.08888068755067402,0.8133867295976618,0.043111560601351094,0.8768485252308702,0.024518479274291342,0.05968967913592155,0.030457661207110902
0.6,Max OR Fusion,0.8356780516990417,0.046756302636691824,0.8268943843079836,0.06516144131564165,0.8476384596468696,0.048689700558254105,0.8745694745525807,0.02494662036760946,0.09849951054170827,0.021431679233901123
0.6,Rule OR Tuned,0.8356780516990417,0.046756302636691824,0.8268943843079836,0.06516144131564165,0.8476384596468696,0.048689700558254105,0.8745694745525807,0.02494662036760946,0.09849951054170827,0.021431679233901123
0.6,Naive Independence,0.8343432747967011,0.05578734105099124,0.8169094593156853,0.0839292580524364,0.8569266998789467,0.03900055273116568,0.8756203981112265,0.024598144789500464,0.1056859036564938,0.027075969721156744
0.6,Mean Late Fusion,0.8158559803584801,0.05607927356676669,0.7595525953020548,0.08852728145058586,0.8889301570262799,0.04002566517126986,0.8656931937375404,0.01914546223491811,0.15754376955119895,0.03479461637465046
0.6,Product Agreement Fusion,0.8004593574681605,0.05664846213066629,0.79367739576574,0.10527273964767545,0.8191340247885341,0.05730828565776354,0.849878445178995,0.022321826824168497,0.11937713443054421,0.04585304685235367
0.6,Min Agreement Fusion,0.7765967169258534,0.06073184217352791,0.7927061691602656,0.1105142890263074,0.7757618431892324,0.07629585850084333,0.8302034566320609,0.026918196294242178,0.11535492992511069,0.05111009250045171
0.6,Rule AND Tuned,0.7582634222738024,0.06450868427997021,0.9040925671345192,0.057595465486470744,0.659292580874449,0.0929506359261034,0.8100200524687968,0.03999039474773755,0.03925247593685506,0.019495594744626556
0.6,Accelerometer Only,0.7241237786838154,0.056947760561873846,0.7316509997025282,0.10753472153493174,0.7349462770817758,0.08440860326326934,0.7893580759925232,0.025071036031288876,0.15623012509672934,0.059889498717090164
0.8,Temporal Logistic Fusion,0.8672756382603335,0.045734385860439014,0.8941963497133342,0.07662312411728904,0.8452347971876375,0.03632285335643168,0.8962809858843105,0.020672224226504835,0.05267282541901628,0.02409706151702701
0.8,Temporal HistGradientBoosting,0.8512760933726706,0.056487190597500236,0.8629804794854155,0.10328837141169778,0.8470375380551435,0.030032018382738765,0.8876514695633198,0.02173465173382063,0.0717345989285038,0.03929272304732822
0.8,Temporal Random Forest,0.8480534863202266,0.06358692434325812,0.8660821403542418,0.1152000885538037,0.8396150408534421,0.03265312589938707,0.8850163912709462,0.02557401961136046,0.06958225831154992,0.04853248776034708
0.8,Temporal Extra Trees,0.8471296816384257,0.06080929237068663,0.8741600433656697,0.1098074758124128,0.8294101798160904,0.03753636432975971,0.8830135037922693,0.025914251341532545,0.06338317223155185,0.043045350111855674
0.8,Calibrated Logistic Fusion,0.8435797875668815,0.05465112643736756,0.8591967822870202,0.09236965162644468,0.8337724725114255,0.03544392532923221,0.8800431163188362,0.022868320861321692,0.07368623987375289,0.031535894361736816
0.8,Camera Only,0.8402281499665598,0.051995944559793054,0.8707251622287521,0.08883981318409076,0.8165732132239505,0.0390428573876991,0.8757218794356314,0.022407140064506142,0.06512945435268755,0.029693815595634863
0.8,Max OR Fusion,0.8303110096793282,0.04681016824447435,0.8198240550188933,0.06267923024859304,0.8437852987469322,0.050107047069621664,0.8702561897939655,0.02501809296604246,0.10327291915900134,0.020367315381041626
0.8,Rule OR Tuned,0.8303110096793282,0.04681016824447435,0.8198240550188933,0.06267923024859304,0.8437852987469322,0.050107047069621664,0.8702561897939655,0.02501809296604246,0.10327291915900134,0.020367315381041626
